,Classification
1864_815,0.00042434322
6032_115,1.2772803e-09
6032_215,0.11011353
6032_315,0.9986803
6032_415,0.98769104
6032_515,0.89175946
6032_615,0.95752984
6032_715,0.9969971
6032_815,0.011923839
4638_115,0.99986887
4638_215,0.99999905
4638_315,0.17278387
4638_415,0.309964
4638_515,0.93677527
4638_615,0.38663295
4638_715,0.85296065
4638_815,0.15356345
1039_115,0.0024155707
1039_215,0.9999995
1039_315,0.9102337
1039_415,0.94251215
1039_515,0.9992077
1039_615,0.9513416
1039_715,0.99669385
1039_815,0.0709405
5919_115,0.99973005
5919_215,0.99906653
5919_315,0.9586512
5919_415,0.9993043
5919_515,0.9605071
5919_615,0.98829204
5919_715,0.9911179
5919_815,0.6937669
5828_115,0.0035292576
5828_215,0.5655618
5828_315,0.0031043848
5828_415,0.0711997
5828_515,0.9953884
5828_615,0.7336365
5828_715,0.9977884
5828_815,0.9993962
5657_115,1.0
5657_215,0.99742764
5657_315,0.0037400508
5657_415,0.92522043
5657_515,0.98915476
5657_615,0.9966539
5657_715,0.9997296
5657_815,0.99816656
4402_116,0.20579612
4402_216,0.6999305
4402_316,0.99904794
4402_416,0.23617359
4402_516,1.0
4402_616,0.9973943
4402_716,0.18266332
4402_816,0.14249411
1864_116,0.11011353
1864_216,0.11011353
1864_316,0.0003500636
1864_416,0.01017129
1864_516,0.9999995
1864_616,0.99780566
1864_716,5.223289e-05
1864_816,0.9976782
6032_116,0.9995921
6032_216,0.11011353
6032_316,6.5554224e-05
6032_416,0.832658
6032_516,0.4620106
6032_616,0.9770433
6032_716,0.09728871
6032_816,0.99939597
4638_116,0.9999989
4638_216,5.617121e-07
4638_316,0.16887401
4638_416,0.8916787
4638_516,0.4380337
4638_616,0.036024194
4638_716,0.016143372
4638_816,0.6231807
1039_116,0.20579533
1039_216,0.4268426
1039_316,2.4827903e-06
1039_416,0.9837536
1039_516,0.982313
1039_616,0.51299
1039_716,0.8022933
1039_816,0.001692546
5919_116,0.99614763
5919_216,0.00021824517
5919_316,0.38124335
5919_416,0.9936365
5919_516,0.4518167
5919_616,0.9517738
5919_716,0.02992875
5919_816,0.9983132
5828_116,0.6244861
5828_216,0.9376241
5828_316,0.9999181
5828_416,0.9935309
5828_516,0.9555694
5828_616,0.9845753
5828_716,0.8445387
5828_816,0.959056
5657_116,0.9999876
5657_216,0.9974021
5657_316,0.36204138
5657_416,0.0151493065
5657_516,0.9999738
5657_616,0.698424
5657_716,0.993334
5657_816,0.99813217
4402_117,0.11011353
4402_217,0.3802359
4402_317,0.012391269
4402_417,0.7001179
4402_517,0.008916232
4402_617,0.9730503
4402_717,0.99019194
4402_817,0.54523313
1864_117,1.1037788e-15
1864_217,6.1716405e-06
1864_317,3.751129e-28
1864_417,0.54056126
1864_517,0.049901612
1864_617,7.777188e-08
1864_717,0.00058259454
1864_817,0.17463405
6032_117,0.09983305
6032_217,0.11011353
6032_317,0.5578579
6032_417,0.033704456
6032_517,0.21909074
6032_617,7.4280288e-06
6032_717,0.7714777
6032_817,0.9625613
4638_117,5.94935e-10
4638_217,0.9910909
4638_317,0.9999895
4638_417,0.99946386
4638_517,1.9260164e-05
4638_617,0.009945345
4638_717,0.64470375
4638_817,0.9788689
1039_117,0.11011353
1039_217,0.99393785
1039_317,1.053365e-09
1039_417,1.35679e-09
1039_517,0.3304385
1039_617,0.32883668
1039_717,0.9560533
1039_817,0.94202256
5919_117,0.94086874
5919_217,0.92304164
5919_317,0.085113525
5919_417,0.9895243
5919_517,0.38263977
5919_617,0.5702407
5919_717,0.83943087
5919_817,0.996439
5828_117,0.82285446
5828_217,0.9781351
5828_317,0.09276412
5828_417,0.8945429
5828_517,0.0068963035
5828_617,0.8222223
5828_717,0.26163775
5828_817,0.9829472
5657_117,0.48529515
5657_217,0.80251825
5657_317,0.96359885
5657_417,0.97967464
5657_517,0.0050375042
5657_617,0.99967337
5657_717,0.9819074
5657_817,0.78775287
4402_118,0.9999999
4402_218,0.11011353
4402_318,7.671199e-09
4402_418,4.5561548e-05
4402_518,0.6818913
4402_618,0.9483917
4402_718,5.8954624e-06
4402_818,0.98292184
1864_118,0.11011353
1864_218,0.44941828
1864_318,0.00047396886
1864_418,0.5296539
1864_518,0.002582455
1864_618,0.99999034
1864_718,0.8303548
1864_818,0.0037986867
6032_118,0.25286087
6032_218,0.11011353
6032_318,0.9863137
6032_418,0.72812897
6032_518,0.94471806
6032_618,0.98152715
6032_718,0.99049056
6032_818,0.06445005
4638_118,0.86868936
4638_218,0.0029872053
4638_318,0.80243444
4638_418,0.9977331
4638_518,0.999134
4638_618,0.98309624
4638_718,0.97733396
4638_818,0.010833758
1039_118,0.4131785
1039_218,0.9346538
1039_318,0.999316
1039_418,0.49721968
1039_518,0.9999987
1039_618,0.00010102151
1039_718,0.43243662
1039_818,0.9992224
5919_118,0.99908304
5919_218,0.9993068
5919_318,0.98165363
5919_418,0.97668797
5919_518,0.99958926
5919_618,0.074977174
5919_718,0.98645765
5919_818,0.9933055
5828_118,0.5736641
5828_218,0.6790867
5828_318,0.006235093
5828_418,0.48019296
5828_518,0.99894327
5828_618,0.9945926
5828_718,0.03564977
5828_818,0.9727622
5657_118,0.9679537
5657_218,0.96333414
5657_318,0.9886042
5657_418,0.99867815
5657_518,0.9652466
5657_618,0.999848
5657_718,0.5747286
5657_818,0.999902
4402_119,0.11011353
4402_219,0.9999999
4402_319,6.3797813e-12
4402_419,0.99998164
4402_519,0.9088691
4402_619,4.922856e-05
4402_719,0.02345691
4402_819,0.98845696
1864_119,1.9205041e-08
1864_219,0.9999937
1864_319,1.0
1864_419,0.9999709
1864_519,0.9643622
1864_619,0.0002098857
1864_719,0.99403787
1864_819,6.0713035e-05
6032_119,0.99904794
6032_219,0.11011353
6032_319,0.074977614
6032_419,0.94229174
