Signature,histone,pvalue_twosided,pvalue_greater,pvalue_lower
SBS9,H3K4me1,5.61853165672659E-05,0.999971941872626,2.80926582836329E-05
SBS10a,H3K4me1,0.749228666644835,0.374614333322418,0.625601257235957
SBS10b,H3K4me1,1.25552651999903E-16,1,6.27763259999514E-17
SBS11,H3K4me1,0.18144920772142,0.09072460386071,0.969315585430299
SBS12,H3K4me1,0.000185481235378,0.999907422907056,9.27406176890902E-05
SBS13,H3K4me1,3.82829825174444E-28,1.91414912587222E-28,1
SBS14,H3K4me1,1.32699378806442E-07,6.6349689403221E-08,0.999999934306181
SBS15,H3K4me1,1.25020181269468E-12,6.25100906347338E-13,0.999999999999398
SBS16,H3K4me1,2.8259645198243E-60,1.41298225991215E-60,1
SBS17a,H3K4me1,7.48841125958385E-31,1,3.74420562979193E-31
SBS17b,H3K4me1,0.009905054222917,0.99505221588153,0.004952527111458
SBS18,H3K4me1,3.90426645530694E-27,1,1.95213322765347E-27
SBS19,H3K4me1,3.95229453228327E-07,1.97614726614164E-07,0.999999803527272
SBS20,H3K4me1,3.57913770004168E-06,1.78956885002084E-06,0.999998227426809
SBS21,H3K4me1,5.43023298763181E-11,2.7151164938159E-11,0.999999999973693
SBS22,H3K4me1,1.96833563128446E-12,0.999999999999017,9.84167815642231E-13
SBS23,H3K4me1,1.9060147241655E-11,0.999999999990567,9.53007362082751E-12
SBS24,H3K4me1,NA,1,1
SBS25,H3K4me1,NA,1,1
SBS26,H3K4me1,2.04312683462466E-06,1.02156341731233E-06,0.999998987965359
SBS27,H3K4me1,NA,1,1
SBS28,H3K4me1,1.14315287122191E-08,0.999999994300521,5.71576435610955E-09
SBS29,H3K4me1,1,0.814453315238651,0.5
SBS30,H3K4me1,0.561503813004532,0.719388464325011,0.280751906502266
SBS31,H3K4me1,0.000831105602195,0.000415552801097,0.999604860132896
SBS32,H3K4me1,1.60978431990567E-11,0.99999999999233,8.04892159952833E-12
SBS33,H3K4me1,0.18144920772142,0.969315585430299,0.09072460386071
SBS34,H3K4me1,0.319970977595656,0.84010293214634,0.159985488797828
SBS35,H3K4me1,1.16027521430444E-27,1,5.80137607152222E-28
SBS36,H3K4me1,0.059614311089337,0.970230138860929,0.029807155544669
SBS37,H3K4me1,1.90554717373033E-06,0.999999048695494,9.52773586865165E-07
SBS38,H3K4me1,3.10188625484418E-21,1,1.55094312742209E-21
SBS39,H3K4me1,0.00126687621856,0.00063343810928,0.999370698911074
SBS40,H3K4me1,1.485948761512E-119,1,7.42974380756E-120
SBS41,H3K4me1,1.6136732321524E-12,0.999999999999194,8.06836616076199E-13
SBS42,H3K4me1,NA,1,1
SBS43,H3K4me1,NA,1,1
SBS44,H3K4me1,0.005006316533244,0.997509454538846,0.002503158266622
SBS45,H3K4me1,1,0.814453315238651,0.5
SBS46,H3K4me1,NA,1,1
SBS47,H3K4me1,NA,1,1
SBS48,H3K4me1,NA,1,1
SBS49,H3K4me1,NA,1,1
SBS50,H3K4me1,NA,1,1
SBS51,H3K4me1,4.10108451919151E-10,0.99999999980249,2.05054225959576E-10
SBS52,H3K4me1,0.018862519075257,0.009431259537629,0.990691787266397
SBS53,H3K4me1,NA,1,1
SBS54,H3K4me1,NA,1,1
SBS55,H3K4me1,NA,1,1
SBS56,H3K4me1,0.857406676149023,0.428703338074512,0.571532544568483
SBS57,H3K4me1,NA,1,1
SBS58,H3K4me1,1.84446693899537E-34,1,9.22233469497687E-35
SBS59,H3K4me1,NA,1,1
SBS60,H3K4me1,7.17490156658987E-23,1,3.58745078329493E-23
SBS84,H3K4me1,NA,1,1
SBS85,H3K4me1,NA,1,1
SBS86,H3K4me1,NA,1,1
SBS87,H3K4me1,NA,1,1
SBS88,H3K4me1,NA,1,1
SBS89,H3K4me1,NA,1,1
SBS90,H3K4me1,NA,1,1
