bin,cancer_type,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,Unknown,Classification
2,BLCA-US,0.024495417,0.20054965,0,0.09442652,0.42006534,0,0,0,0,0,0.033390835,0,0,0,0,0,0.20916016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01791209,0.99996614
2,BOCA-UK,0.05093949,0.03321008,0.022142464,0.015008305,0.12476628,0,0,0,0,0,0.1827457,0,0,0,0,0,0.023616403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014746837,0,0.37244657,0.09514286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06523502,0.999757
2,BRCA-EU,0.089808665,0.3401104,0,0,0.31963292,0,0,0,0,0,0,0,0,0,0,0,0.18115589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02303785,0.9999821
2,BRCA-UK,0.06267349,0.19834267,0.056014307,0.010698375,0.18792251,0,0,0,0,0,0.067669764,0,0,0,0,0,0.20481348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18499152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026873946,0.9999814
2,BRCA-US,0.054978397,0.16894674,0.02336418,0,0.1436311,0,0,0,0,0,0.15546513,0,0,0,0,0,0.17679098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23573211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041091323,0.99998975
2,BTCA-SG,0.118745625,0.11515632,0,0.010261307,0.30989426,0,0.011661624,0.01113764,0,0.013301352,0.06461626,0,0,0,0,0,0.04501649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047423676,0,0.13780995,0.036483783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07849169,0.9997701
2,CESC-US,0.11064576,0.2941824,0,0,0.3618269,0,0,0,0,0,0,0,0,0,0,0,0.21894015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014404774,0.99995935
2,CLLE-ES,0.12657432,0,0,0,0.5039226,0,0,0,0,0,0.19863191,0.06203676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012358034,0,0,0,0,0.013304964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103017725,0,0,0,0,0,0,0,0,0,0.07286966,0.99747235
2,CMDI-UK,0.2290688,0,0,0,0.10084558,0,0,0,0,0.010486187,0.07064457,0,0,0.01896279,0,0.021667706,0,0,0.015189472,0.014724714,0,0,0,0.08244132,0,0,0,0.04781285,0,0,0,0,0,0.023874843,0.02038654,0,0.056714047,0,0,0,0,0.044272855,0.014513037,0.028384801,0,0,0,0,0,0,0,0,0,0,0,0.03182943,0,0,0,0,0,0,0,0,0,0.043386225,0,0,0,0.010729289,0.06477085,0,0.049294055,0.24640964
2,COAD-US,0,0,0,0,0.1520818,0,0,0,0,0,0,0,0.5003319,0.17159106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10804154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067953765,0.9611311
2,DLBC-US,0.03339462,0.015011598,0.02209315,0,0.24151134,0.023305118,0,0,0,0,0,0.43927696,0,0,0,0,0,0,0,0,0.017412553,0.050131336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03272315,0,0.020095417,0.023509733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023593478,0,0,0,0,0,0,0,0,0,0,0,0.057941616,0.9997968
