"","x"
"1179","ROBO1"
"1180","LINC00971"
"1181","CADM2"
"1182","BBX"
"1183","ARHGAP31"
"1184","STXBP5L"
"1185","GYG1"
"1186","ZBBX"
"1187","SPATA16"
"1188","PEX5L"
"1189","KLHL6"
"1190","LIPH"
"1191","IL1RAP"
"1192","STK32B"
"1193","LINC01182"
"1194","LDB2"
"1195","KCNIP4"
"1196","NWD2"
"1197","RELL1"
"1198","APBB2"
"1199","GABRB1"
"1200","MUC7"
"1201","LINC01088"
"1202","CENPE"
"1203","ARHGEF38"
"1204","NDNF"
"1205","SCLT1"
"1206","LINC02462"
"1207","FREM3"
"1208","GRIA2"
"1209","GRIA2"
"1210","TLL1"
"1211","TENM3"
"1212","CENPU"
"1213","LINC02112"
"1214","LINC02241"
"1215","PDE4D"
"1216","PDE4D"
"1217","MEF2C-AS1"
"1218","MEF2C-AS1"
"1219","LOC101929710"
"1220","FER"
"1221","CAMK4"
"1222","LOC102467216"
"1223","LOC101927078"
"1224","LINC02208"
"1225","LINC01170"
"1226","ARHGAP26"
"1227","ADRA1B"
"1228","ATXN1"
"1229","ADGRF5"
"1230","PKHD1"
"1231","GFRAL"
"1232","LOC101928516"
"1233","TBX18"
"1234","TSG1"
"1235","ZUP1"
"1236","NKAIN2"
"1237","LAMA2"
"1238","LOC100507477"
"1239","PRKN"
"1240","PACRG"
"1241","MPP6"
"1242","DPY19L1"
"1243","TBX20"
"1244","TRG-AS1"
"1245","GALNT17"
"1246","CALN1"
"1247","SEMA3E"
"1248","PPP1R9A"
"1249","AP1S1"
"1250","RELN"
"1251","IMMP2L"
"1252","TMEM178B"
"1253","LMBR1"
"1254","DLGAP2"
"1255","CSMD1"
"1256","SLC35G5"
"1257","SGCZ"
"1258","SGCZ"
"1259","NRG1-IT1"
"1260","NRG1"
"1261","HOOK3"
"1262","LINC01289"
"1263","LINC01414"
"1264","KCNB2"
"1265","MIR2052HG"
"1266","ATP6V0D2"
"1267","C8orf37-AS1"
"1268","MTDH"
"1269","VPS13B"
"1270","NCALD"
"1271","CSMD3"
"1272","SAMD12"
"1273","CASC11"
"1274","TG"
"1275","PDCD1LG2"
"1276","PTPRD"
"1277","PTPRD"
"1278","CNTLN"
"1279","LOC101929563"
"1280","IZUMO3"
"1281","LINGO2"
"1282","PCSK5"
"1283","ANKRD18CP"
"1284","ARHGAP21"
"1285","GPR158"
"1286","PARD3"
"1287","A1CF"
"1288","PCDH15"
"1289","PCDH15"
"1290","HERC4"
"1291","USP54"
"1292","HECTD2-AS1"
"1293","EXOC6"
"1294","CYP2C9"
"1295","HPSE2"
"1296","SORCS1"
"1297","SOX6"
"1298","PLEKHA7"
"1299","LDHC"
"1300","NAV2"
"1301","NAV2"
"1302","DCDC1"
"1303","DCDC1"
"1304","LINC00301"
"1305","SHANK2"
"1306","FAM168A"
"1307","DLG2"
"1308","ME3"
"1309","NOX4"
"1310","DISC1FP1"
"1311","FAT3"
"1312","CNTN5"
"1313","CNTN5"
"1314","CNTN5"
"1315","CADM1"
"1316","DDX25"
"1317","LINC02714"
"1318","NDUFA9"
"1319","PIK3C2G"
"1320","CFAP94"
"1321","ITPR2"
"1322","SLC38A4"
"1323","ASIC1"
"1324","SLC4A8"
"1325","OS9"
"1326","TAFA2"
"1327","GRIP1"
"1328","OSBPL8"
"1329","SYT1"
"1330","ANKS1B"
"1331","PWP1"
"1332","RPL6"
"1333","DTX1"
"1334","KSR2"
"1335","LRRC43"
"1336","ANKRD26P3"
"1337","ATP8A2"
"1338","SERTM1"
"1339","FREM2"
"1340","DGKH"
"1341","LINC00376"
"1342","LINC00397"
"1343","GPC5"
"1344","GPC5"
"1345","GPC5"
"1346","FGF14"
