"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CMAS",2.45243312452568e-11,0.837461427929802,0.109,0.028,7.37520213538607e-07,"14","CMAS"
"CSRP3-AS12",1.22302577398835e-27,0.837149662858433,0.455,0.148,3.67800541011518e-23,"14","CSRP3-AS1"
"COX20",8.36157547681487e-18,0.836296043379307,0.28,0.089,2.51457659314254e-13,"14","COX20"
"SLAIN1",2.91595701338547e-07,0.834342524065211,0.109,0.037,0.00876915752635412,"14","SLAIN1"
"CAT1",1.13459526895121e-22,0.832920785232918,0.455,0.163,3.41206835231696e-18,"14","CAT"
"MRPL52",6.97589574258262e-11,0.831424232288284,0.104,0.027,2.09786112666687e-06,"14","MRPL52"
"RDH141",2.10870335445824e-13,0.831292858092627,0.175,0.053,6.34150359786226e-09,"14","RDH14"
"EIF4A22",1.78675124199462e-18,0.830865431162177,0.36,0.126,5.37329701005041e-14,"14","EIF4A2"
"ZFPM1",4.29540679081631e-12,0.830706267730958,0.142,0.041,1.29175768420219e-07,"14","ZFPM1"
"XPR11",9.83328194707837e-22,0.829002271801911,0.938,0.771,2.95716287994488e-17,"14","XPR1"
"SRP91",2.1148031239047e-10,0.827003624936099,0.171,0.058,6.35984743451859e-06,"14","SRP9"
"TLE1",4.67677113769328e-19,0.825756649277686,0.156,0.035,1.4064453842385e-14,"14","TLE1"
"MYL12B1",9.21096373929301e-18,0.825561234499014,0.175,0.044,2.77001312531759e-13,"14","MYL12B"
"FBXO71",6.07409296718161e-09,0.823788951787593,0.161,0.058,0.000182666197802053,"14","FBXO7"
"EEPD12",8.00607473383984e-18,0.823011252158477,0.318,0.111,2.40766685470766e-13,"14","EEPD1"
"EXTL31",7.64325529868534e-23,0.821916754542583,0.692,0.31,2.29855616597364e-18,"14","EXTL3"
"TMEM1351",5.27556475585196e-29,0.820510849687298,0.72,0.295,1.58652058902736e-24,"14","TMEM135"
"NSUN5",3.00838771574077e-10,0.820190790905054,0.128,0.038,9.04712437754723e-06,"14","NSUN5"
"MIER12",4.581919358385e-19,0.820176826298953,0.431,0.165,1.37792060864712e-14,"14","MIER1"
"PCDH92",8.50669233328435e-26,0.817281303119847,0.962,0.888,2.5582175853886e-21,"14","PCDH9"
"PTPRE1",5.66201164539485e-24,0.815617236190243,0.81,0.419,1.70273676211959e-19,"14","PTPRE"
"ZBTB491",2.19412021057813e-09,0.814501775638657,0.133,0.043,6.59837770927161e-05,"14","ZBTB49"
"PRSS45P1",4.76830517879076e-35,0.814466908495045,0.445,0.123,1.43397241641775e-30,"14","PRSS45P"
"STIM21",2.3457129364782e-11,0.813140409250089,0.166,0.054,7.05426251387088e-07,"14","STIM2"
"ABHD131",2.20698220032117e-12,0.812542008150505,0.175,0.056,6.63705757102585e-08,"14","ABHD13"
"SDK2",6.79850174178651e-10,0.811906596174084,0.156,0.053,2.04451342880746e-05,"14","SDK2"
"TP53BP21",5.02523507927972e-09,0.810474679261906,0.199,0.078,0.000151123894539179,"14","TP53BP2"
"XIRP21",5.99878961624611e-07,0.80969262036749,0.877,0.676,0.0180401600129369,"14","XIRP2"
"NT5C",2.14071721565371e-15,0.8075980801458,0.137,0.033,6.4377788826354e-11,"14","NT5C"
"TYRP1",6.74242274128553e-11,0.806222168130473,0.118,0.033,2.0276487909868e-06,"14","TYRP1"
"GPR221",5.35596909779697e-11,0.805757963652435,0.175,0.059,1.61070058678048e-06,"14","GPR22"
"ISG20L2",4.98029068195164e-11,0.805426956749795,0.137,0.041,1.49772281678332e-06,"14","ISG20L2"
"PLCL2",5.33554962391488e-27,0.801121398240887,0.976,0.723,1.60455983839992e-22,"14","PLCL2"
"PWWP3B",2.48247667752677e-09,0.800692959452229,0.133,0.043,7.46555211232626e-05,"14","PWWP3B"
"DCN2",5.59168422655625e-43,0.799241913074068,0.559,0.151,1.68158719745226e-38,"14","DCN"
"SLC16A101",1.12726643689932e-16,0.799121773283138,0.517,0.235,3.39002835568732e-12,"14","SLC16A10"
"CFL21",2.12527135875567e-21,0.7981154347253,0.379,0.128,6.39132855718592e-17,"14","CFL2"
"HNRNPAB1",8.06031321335346e-08,0.796662672939425,0.1,0.031,0.00242397799265179,"14","HNRNPAB"
"GPD21",5.62067592277672e-17,0.795633746604428,0.299,0.102,1.69030587025664e-12,"14","GPD2"
"SPRED11",2.64231461249367e-20,0.794997277959826,0.303,0.094,7.94623273415221e-16,"14","SPRED1"
"HFM1",4.20374216780713e-19,0.792556576520932,0.403,0.149,1.26419138212464e-14,"14","HFM1"
"CWC25",1.37505151481193e-06,0.792043746265044,0.156,0.065,0.0413519242049391,"14","CWC25"
"ARNTL1",2.81833227070759e-24,0.791967144240819,0.242,0.06,8.47557063769892e-20,"14","ARNTL"
"EPB41L4A1",3.21011450417989e-26,0.791600453448963,0.711,0.299,9.65377734842019e-22,"14","EPB41L4A"
"EIF3M",1.59863475418995e-15,0.791498144120882,0.251,0.081,4.80757429627544e-11,"14","EIF3M"
"HUS1",1.42138682716672e-11,0.789222048390976,0.199,0.069,4.27453660533848e-07,"14","HUS1"
"ACAA2",5.16890718802044e-12,0.788523297029244,0.199,0.067,1.55444545865339e-07,"14","ACAA2"
"RHOBTB1",9.01628612032966e-22,0.78827926332603,0.46,0.168,2.71146772496674e-17,"14","RHOBTB1"
"ANXA21",6.92260524003078e-13,0.787706000596701,0.152,0.044,2.08183507383446e-08,"14","ANXA2"
"EXOG",5.78973555128575e-23,0.785090954379406,0.711,0.333,1.74114717233816e-18,"14","EXOG"
