"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PDGFRB",1.06769739898949e-111,4.24738698766231,0.284,0.018,3.2108863879811e-107,"9","PDGFRB"
"TMEM204",1.65511530140602e-42,4.23670895663158,0.106,0.007,4.97742824591834e-38,"9","TMEM204"
"EPB41L2",3.90108088083598e-155,4.22519192657821,0.511,0.054,1.1731720532938e-150,"9","EPB41L2"
"TSHZ3",4.4396896172806e-63,4.2247763127727,0.133,0.006,1.3351478586048e-58,"9","TSHZ3"
"ELN",1.96739715665535e-90,4.21950630064277,0.178,0.007,5.91655346920962e-86,"9","ELN"
"SH3BGRL3",1.11299705489115e-70,4.21875913289626,0.246,0.026,3.34711604317417e-66,"9","SH3BGRL3"
"CYP1B1-AS1",5.9158988782947e-35,4.20702151589906,0.106,0.009,1.77908826966957e-30,"9","CYP1B1-AS1"
"SH3BP5",1.97908361079495e-34,4.20558382710859,0.102,0.008,5.95169814274365e-30,"9","SH3BP5"
"TMED3",6.47049505617696e-39,4.2050552073753,0.106,0.008,1.9458719782441e-34,"9","TMED3"
"SELENOP",4.85917462782264e-131,4.20239968459402,0.534,0.078,1.4612995858251e-126,"9","SELENOP"
"TSC22D3",3.03269898918692e-80,4.19764483362064,0.314,0.039,9.12023567018183e-76,"9","TSC22D3"
"OMD",3.68518676440244e-54,4.19240168671625,0.114,0.005,1.10824621565874e-49,"9","OMD"
"BMPER",3.00756568673686e-40,4.18889409889168,0.11,0.008,9.04465228972377e-36,"9","BMPER"
"TUBA1A",7.12046779178942e-78,4.17750545034354,0.216,0.016,2.14133827902483e-73,"9","TUBA1A"
"IL1R1",1.94705530026649e-77,4.1705726220016,0.212,0.015,5.8553794044914e-73,"9","IL1R1"
"DCLK1",4.78463144834925e-92,4.16413716433777,0.341,0.04,1.43888221546207e-87,"9","DCLK1"
"FXYD6",9.5188092778715e-80,4.15715752547907,0.212,0.015,2.8625915141343e-75,"9","FXYD6"
"TIAM1",4.72097326220409e-43,4.15178757305336,0.136,0.012,1.41973828914264e-38,"9","TIAM1"
"GULP1",8.32371519159183e-68,4.15175596158568,0.197,0.016,2.50319086956741e-63,"9","GULP1"
"CLEC3B",1.55009003274416e-50,4.14919204859767,0.148,0.012,4.66158575547151e-46,"9","CLEC3B"
"CORO2B",3.33520673820512e-58,4.14058359855786,0.167,0.013,1.00299672238043e-53,"9","CORO2B"
"OGFRL1",1.60163220585255e-52,4.13978512226787,0.163,0.014,4.81658853266036e-48,"9","OGFRL1"
"SPARCL1",3.08050747540348e-136,4.13610268492675,0.701,0.148,9.2640101307809e-132,"9","SPARCL1"
"SMIM3",1.75281628333661e-57,4.13382822314927,0.167,0.013,5.27124440887819e-53,"9","SMIM3"
"DPYSL3",8.37444402028816e-80,4.1331447290389,0.178,0.009,2.51844655022126e-75,"9","DPYSL3"
"C1S",4.65908360524948e-110,4.12826488399242,0.428,0.055,1.40112621260668e-105,"9","C1S"
"RGMA",1.02356798363753e-41,4.12720796554297,0.129,0.011,3.07817599719314e-37,"9","RGMA"
